구분번호,대통령,글제목,연설일자,원문보기,연설장소
1314549,노태우,김영삼(金泳三) 민주자유당(民主自由黨) 총재(總裁) 취임 축하연(祝賀宴) 인사말,1992-08-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2010/10/06/DOC/SRC/0104201010064661800046618012509.PDF,국내
1307797,김영삼,제14 대통령 취임사(우리 다 함께 신한국으로),1993-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263903800039038011005.PDF,국내
1307798,김영삼,첫 국무회의 말씀(국무위원은 개혁의 선봉장),1993-02-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263903900039039011006.PDF,국내
1307799,김영삼,제74주년 3·1절 기념사(한국병 치유로 신한국 창조),1993-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904000039040011007.PDF,국내
1307800,김영삼,헬무트 콜 독일 총리를 위한 만찬사(공산주의는 지난 시대의 유물),1993-03-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904100039041011008.PDF,국내
1307801,김영삼,경제장관회의 말씀(신경제5개년 계획 수립),1993-03-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904200039042011009.PDF,국내
1307802,김영삼,육군사관학교 제49기 졸업 및 임관식 연설(문과 무는 한 뿌리의 한 나무),1993-03-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904300039043011010.PDF,국내
1307803,김영삼,조선일보 창간 73주년 특별회견(윗물맑기 운동의 핵심은 돈 안드는 정치),1993-03-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904400039044011011.PDF,국내
1307804,김영삼,대통령 취임 경축 특사 관련 국무회의 말씀(국민 대화합을 위한 사면·복권),1993-03-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904500039045011012.PDF,국내
1307805,김영삼,공군사관학교 제41기 졸업 및 임관식 연설(각 군은 균형적 발전을 기해야),1993-03-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904600039046011013.PDF,국내
1307806,김영삼,"해군사관학교 제47기 졸업 및 임관식 연설(깨끗한 정부, 강력한 국군)",1993-03-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904700039047011014.PDF,국내
1307807,김영삼,국가기강 확립 보고회의 말씀(국가기강 확립은 내 자신의 개혁부터),1993-03-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904800039048011015.PDF,국내
1307808,김영삼,신경제관련 특별담화문(신경제로 새로운 도약을),1993-03-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263904900039049011016.PDF,국내
1307809,김영삼,신경제100일 계획 보고회의 말씀(눈물과 땀으로 신경제건설),1993-03-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905000039050011017.PDF,국내
1307810,김영삼,매일경제신문 창간 27주년 특별회견(작고 강력한 정부 실현),1993-03-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905100039051011018.PDF,국내
1307811,김영삼,경찰대학 제9기 졸업 및 임용식 연설(경찰은 움직이는 작은 정부),1993-03-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905200039052011019.PDF,국내
1307812,김영삼,간부 공무원에게 보내는 서한(국민에게 봉사하는 공무원),1993-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905300039053011020.PDF,국내
1307813,김영삼,동남일보 창간 73주년 특별회견(재산공개는 도덕정치를 위한 결단),1993-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905400039054011021.PDF,국내
1307814,김영삼,경제장관회의 말씀(신경제100일 계획의 착실한 실천),1993-04-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905500039055011022.PDF,국내
1307815,김영삼,제37회 신문의 날 기념 리셉션 연설(정치와 언론은 같은 배를 탄 동지),1993-04-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905600039056011023.PDF,국내
1307816,김영삼,칼 빌트 스웨덴 총리를 위한 만찬사(한·스웨덴 관계발전을 위한 역사적 계기),1993-04-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905700039057011024.PDF,국내
1307818,김영삼,민자당 제3차 상무위원회 총재 연설(세계 속에 우뚝 설 민족사의 새벽),1993-04-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905900039059011026.PDF,국내
1307817,김영삼,중소기업 구조개선 보고대회 말씀(중소기업은 국가경제의 뿌리),1993-04-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263905800039058011025.PDF,국내
1307819,김영삼,재외 공관장을 위한 만찬 연설(돈 많은 사람이 부끄러운 시대),1993-04-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906000039060011027.PDF,국내
1307820,김영삼,경제장관회의 말씀(신경제를 위한 규제완화에 역점),1993-04-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906100039061011028.PDF,국내
1307822,김영삼,광주일보 창간 41주년 축하 메시지(언론이 자율과 창의를 꽃피울 기회),1993-04-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906300039063011030.PDF,국내
1307821,김영삼,장애인의 날에 즈음한 연설(장애인 복지향상은 신경제의 중점과제),1993-04-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906200039062011029.PDF,국내
1307823,김영삼,중소기업 구조개선 세부 추진계획 보고서 말씀(중소기업과 대기업은 보완관계),1993-04-23,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906400039064011031.PDF,국내
1307826,김영삼,민자당 당원에게 보내는 총재 서한(변화를 주도하는 개혁정당으로),1993-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906700039067011034.PDF,국내
1307824,김영삼,공직자 가족에게 보내는 서한(성실한 사람이 보람을 거두는 나라),1993-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906500039065011032.PDF,국내
1307827,김영삼,이진영 양에게 보내는 서한(고향 앞바다 물빛처럼 깨끗한 나라),1993-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906800039068011035.PDF,국내
1307825,김영삼,민주평화통일 자문위원들에게 보내는 서한(정의가 강물처럼 흐르는 사회),1993-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906600039066011033.PDF,국내
1307828,김영삼,신경제대토론회 말씀(경제를 살리기 위한 고통분담),1993-05-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263906900039069011036.PDF,국내
1307829,김영삼,불교방송 개국 3주년 축하 메시지(정신적 풍요속에 사람답게 사는 나라),1993-05-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907000039070011037.PDF,국내
1307830,김영삼,모범 어린이 초청 격려 말씀(겨레의 꿈이요 희망),1993-05-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907100039071011038.PDF,국내
1307831,김영삼,제임스 볼저 뉴질랜드 총리내외를 위한 만찬사(신경제라는 양국의 새로운 엔진),1993-05-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907200039072011039.PDF,국내
1307832,김영삼,해외 한민족 대표 접견 연설(통일조국은 금세기 안으로),1993-05-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907300039073011040.PDF,국내
1307833,김영삼,5·18 광주민주화운동 관련 담화문(5·18의 연장선에 선 문민정부),1993-05-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907400039074011041.PDF,국내
1307834,김영삼,제25회 국가조찬기도회 말씀(항상 개혁하는 교회),1993-05-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907500039075011042.PDF,국내
1307836,김영삼,한국교육신문 창간 32주년 특별회견(신교육은 신한국 창조의 원동력),1993-05-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907700039077011044.PDF,국내
1307835,김영삼,한겨레신문 창간 5주년 특별회견(신한국은 한국병이 치유된 사회),1993-05-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907600039076011043.PDF,국내
1307837,김영삼,신경제100일 계획 중간 보고회의 말씀(용기와 자신으로 신경제건설에 매진),1993-05-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907800039078011045.PDF,국내
1307838,김영삼,제26차 태평양 경제협의회(PBEC) 총회 연설(태평양 시대와 한국의 신외교),1993-05-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263907900039079011046.PDF,국내
1307839,김영삼,제13회 나라와 민족을 위한 기원법회(불토정국이 곧 신한국),1993-05-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263908000039080011047.PDF,국내
